UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Substratum,@SubstratumNet,2017-12-14T23:41:01.000Z,"Substratum
@SubstratumNet
·
2017年12月15日","On the 8th Day of #Christmas #Substratum gave to me..

8 Winners will receive 1 $ETH each!

To be eligible you must be a Twitter follower & a $SUB holder & retweet this tweet.

#cryptocurrency #giveaway #free #contests #bitcoin #altcoin $btc $eth $xrp #blockchain #crypto #tech
106
1,729
742",,106,"1,729",742,['https://pbs.twimg.com/media/DRC2gaQXkAEPNxI?format=jpg&name=small'],https://twitter.com/SubstratumNet/status/941452999418875904
Keith Gill,@DigitalKeith,2017-12-14T23:14:16.000Z,"Keith Gill
@DigitalKeith
·
2017年12月15日","Every 60 sec on #Internet.#DigitalMarketing #InternetMarketing #SocialMedia #SEO #SMM #Mpgvip #defstar5 #BigData #bitcoin #Digital #startup #marketing #ArtificialIntelligence #DataScience #Fintech #innovation #ioT #4IR by... by #BestSEOFirmCOM
19
26",,,19,26,['https://pbs.twimg.com/media/DRCwZFVXUAIIZFo?format=jpg&name=small'],https://twitter.com/DigitalKeith/status/941446269570109440
e-Chat,@e_Chat_ICO,2017-12-14T23:13:44.000Z,"e-Chat
@e_Chat_ICO
·
2017年12月15日","Hurry up, only 1 day is left to buy the e-Chat tokens with a 25% discount for $0.75 only!

https://ico.echat.io/news/article/335…

#EChatICO #ICO #btc #Bitcoin #Ethereum #crypto #blockchain #cryptocurrency
6
165
158",,6,165,158,['https://pbs.twimg.com/media/DRCwQaMXcAAfbE-?format=jpg&name=small'],https://twitter.com/e_Chat_ICO/status/941446133775204353
Damien de France,@Damien_CABADI,2017-12-14T23:05:19.000Z,"Damien de France
@Damien_CABADI
·
2017年12月15日","Bitcoin Barely Rates a Mention Among Top Risks to Financial System 

BLOOMBERG

https://buff.ly/2B14H4S
#bitcoin #cryptocurrency #blockchain #fintech #crypto #finance #tech #innovation #btc #dlt #ethereum #eth
1
3
5",🌍 🕊,1,3,5,['https://pbs.twimg.com/media/DRCuV31XcAA7L51?format=jpg&name=small'],https://twitter.com/Damien_CABADI/status/941444015462993921
Masergy,@MASERGY,2017-12-14T23:04:08.000Z,"Masergy
@MASERGY
·
2017年12月15日","Our own VP of #cybersecurity 
@davevenable
 got quoted in Bloomberg 
@Business
's article on #NorthKorea and #Bitcoin by 
@DuneLawrence
 https://buff.ly/2o6HxY1 #Security
58
3",,,58,3,['https://pbs.twimg.com/media/DRCuEqIW0AAt2IA?format=jpg&name=small'],https://twitter.com/MASERGY/status/941443719940755457
Omkar Joshi,@omkarjoshi,2017-12-14T23:08:52.000Z,"Omkar Joshi
@omkarjoshi
·
2017年12月15日","Powerful graphic: 4 years of ICOs #ICOs #Bitcoin #filecoin #tezos
1
13
14",,1,13,14,['https://pbs.twimg.com/media/DRCvJaBXUAATK73?format=jpg&name=small'],https://twitter.com/omkarjoshi/status/941444910879789057
Ratan Jyoti,@reach2ratan,2017-12-14T23:30:12.000Z,"Ratan Jyoti
@reach2ratan
·
2017年12月15日","Why #Blockchain is very Secure?

via 
@factordaily
#Fintech #makeyourownlane #Mpgvip #cryptocurrency #AI #defstar5 #ETHEREUM #Bitcoin #IoT #chatbots #chatbot #banking #BitcoinCash #BitcoinGold #BitcoinMining #Databreach #Ransomware #Hackers #infosec #malware #DDoS #CyberResilience
8
10",,,8,10,['https://pbs.twimg.com/media/DRC0Cj0W0AMnGAS?format=jpg&name=small'],https://twitter.com/reach2ratan/status/941450281161777154
Sushama Ananna,@Ananna16,2017-12-14T22:58:45.000Z,"Sushama Ananna
@Ananna16
·
2017年12月15日","#Onlinelearning $10 OFFER:  

17 #IT and #Training #Certification Courses

https://goo.gl/v2z24S

#AI #Analytics #IoT #IIoT #Azure #AWS #tech #Networking #Security #Hacking #bitcoin #Cloud #career #DataScience #BigData #MachineLearning #discount #Promo #Promotion #sale #Udemy
1
3
3",,1,3,3,['https://pbs.twimg.com/media/DRCs1ADXcAIA7lm?format=jpg&name=small'],https://twitter.com/Ananna16/status/941442363934752769
IBM Security,@IBMSecurity,2017-12-14T23:08:01.000Z,"IBM Security
@IBMSecurity
·
2017年12月15日","Threat of #phishing attacks increases with a surge in the value of #bitcoin: http://ibm.co/2yu8ViD
20
13",,,20,13,['https://pbs.twimg.com/media/DRCu9dNWsAU9JEG?format=jpg&name=small'],https://twitter.com/IBMSecurity/status/941444696571817984
"MarQuis Trill | Crypto, NFT & Blockchain Mentor",@6BillionPeople,2017-12-14T22:47:01.000Z,"MarQuis Trill | Crypto, NFT & Blockchain Mentor
@6BillionPeople
·
2017年12月15日","I’m Excited to announce that 
@6BillionPeople
 social media influencer & cryptocurrency investor will be giving his trading advice on the #followcoin app (Android and IOS) #fllw #followcoin
#bitcoin #bitcoins #ethereum #cryptocurrency #ico #blockchain #bitcoinmining
11
16
75",,11,16,75,['https://pbs.twimg.com/media/DRCqJaqX0AYOekm?format=jpg&name=small'],https://twitter.com/6BillionPeople/status/941439411853709314
