UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Max,@maxkeiser,2021-01-03T23:12:35.000Z,"Max
@maxkeiser
·
2021年1月4日","$USD opens week DOWN 
Gold over $1,900 

#Bitcoin has been telling us for years that $USD is headed for the fiat money scrap heap
13
40
232",💙,13,40,232,['https://pbs.twimg.com/media/Eq1-QMYXMAAKl4-?format=jpg&name=small'],https://twitter.com/maxkeiser/status/1345870704781238272
CryptoSteve.eth,@CryptoStylesUSA,2021-01-03T23:52:15.000Z,"CryptoSteve.eth
@CryptoStylesUSA
·
2021年1月4日","Bitcoin Mug GIVEAWAY
We’re giving away this mug to someone in 24 hours, to enter:

Retweet
Follow @SatoshiStyles 
.
Drink the tears of #Bitcoin haters, only $12.99!

https://amazon.com/dp/B08RC9YFSZ/ref=cm_sw_r_cp_api_glc_fabc_0YE8FbQZKVCXP…
20
33
47",🚨 🚨 ✅ ✅ 👇,20,33,47,['https://pbs.twimg.com/media/Eq2HWk7VkAAOjrP?format=jpg&name=small'],https://twitter.com/CryptoStylesUSA/status/1345880688168378368
Cameron Winklevoss,@cameron,2021-01-03T23:35:23.000Z,"Cameron Winklevoss
@cameron
·
2021年1月4日","Pretty soon you will cash out of cash. #Bitcoin
144
207
2,870",,144,207,"2,870",[],https://twitter.com/cameron/status/1345876440521322496
Kraken Exchange,@krakenfx,2021-01-03T22:45:04.000Z,"Kraken Exchange
@krakenfx
·
2021年1月4日","Satoshi Nakamoto was the hero we needed in 2009 when the #Bitcoin Genesis Block was mined.

 Thank you Satoshi & Happy Birthday Bitcoin 
GIF
24
60
356",⭐ ⭐,24,60,356,['https://pbs.twimg.com/tweet_video_thumb/Eq139oeXEAM0jfU.jpg'],https://twitter.com/krakenfx/status/1345863778634764290
Documenting Bitcoin,@DocumentingBTC,2021-01-03T23:55:17.000Z,"Documenting Bitcoin
@DocumentingBTC
·
2021年1月4日","#Bitcoin now transfers half a million dollars of value across the planet every second.
25
184
1,337",📄,25,184,"1,337",[],https://twitter.com/DocumentingBTC/status/1345881449472417792
Alex Thorn,@intangiblecoins,2021-01-03T22:55:44.000Z,"Alex Thorn
@intangiblecoins
·
2021年1月4日","Satoshi included a message in Bitcoin’s first block - the Genesis Block - both as a timestamp and as a political message: our money is broken, and bitcoin fixes this. Satoshi elaborated on this a few days later.

That block was mined 12 years ago today. HBD #bitcoin!
2
5
24",,2,5,24,"['https://pbs.twimg.com/media/Eq16aVZXYAoxbbN?format=jpg&name=small', 'https://pbs.twimg.com/media/Eq16aVeXcAE0huC?format=jpg&name=medium']",https://twitter.com/intangiblecoins/status/1345866462599274500
Chris Burniske,@cburniske,2021-01-03T23:09:36.000Z,"Chris Burniske
@cburniske
·
2021年1月4日","While $BTC was my first crypto , #Bitcoin  salt towards $ETH told me #Ethereum was also onto something big.
26
29
407",❤,26,29,407,[],https://twitter.com/cburniske/status/1345869953652514816
Ⓥechain Ⓥiking,@vechain_viking,2021-01-03T23:41:46.000Z,"Ⓥechain Ⓥiking
@vechain_viking
·
2021年1月4日","#1 baby!! Let's break ath!! #Vechain $VET #Bitcoin
🄲🅁🅈🄿🅃🄾 🄺🄴🄽🄽🅈 ♛
@Crypt0_kenny
 · 2021年1月4日
Look at this #1 Coin on @LunarCRUSH 

Altrank #1, just like it should be!

Don't be blind, #VeChain's gonna lead this #altseason!

#VET $VET #VeFam $VTHO #VTHO
4
13",👀,,4,13,"['https://pbs.twimg.com/profile_images/1485726776773029891/ps55nf-K_mini.jpg', 'https://pbs.twimg.com/media/Eq2D8S6W8AM5RIr?format=jpg&name=small']",https://twitter.com/vechain_viking/status/1345878047740727296
Tiziano Tridico,@TizianoTridico,2021-01-03T23:45:48.000Z,"Tiziano Tridico
@TizianoTridico
·
2021年1月4日","#bitcoin invasion
Pomp
@APompliano
 · 2021年1月4日
Front page of tomorrow's Financial Times. 

Bitcoin featured front and center for the world to see.
5
8
103",🌪,5,8,103,"['https://pbs.twimg.com/profile_images/1362803074121760768/IxlsR42x_mini.jpg', 'https://pbs.twimg.com/media/Eq11DN7W8Ac4QBp?format=jpg&name=small']",https://twitter.com/TizianoTridico/status/1345879061114089475
Cryptic Poet,@1CrypticPoet,2021-01-03T23:29:46.000Z,"Cryptic Poet
@1CrypticPoet
·
2021年1月4日","• #Bitcoin Cycle •

1. Buy Bitcoin.
2. Wait for Bitcoin to pump.
3. Sell Bitcoin for altcoins.
4. Wait for altcoins to pump.
5. Sell altcoins for Bitcoin.

• Rinse & Repeat •
14
32
188",👑,14,32,188,[],https://twitter.com/1CrypticPoet/status/1345875028177522689
