UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jonathan Waller,@jonwaller,2014-04-15T16:47:27.000Z,"Jonathan Waller
@jonwaller
·
2014年4月16日","#Ethereum and #Bitcoin will ensure contracts are kept. Peace pacts based on escrowed funds. No need for a military.
2
3",,,2,3,[],https://twitter.com/jonwaller/status/456111571752603648
Coincourant,@Coincourant,2014-04-15T08:42:43.000Z,"Coincourant
@Coincourant
·
2014年4月15日","Evenement | Dutch #Ethereum and #Bitcoin User Group Meetup Amsterdam http://coincourant.nl/evenement-dutch-ethereum-and-bitcoin-user-group-meetup-amsterdam/…
1",,,1,,[],https://twitter.com/Coincourant/status/455989584363806720
Bitcoin Observer,@ObserverBitcoin,2014-04-15T16:28:14.000Z,"Bitcoin Observer
@ObserverBitcoin
·
2014年4月16日","""Growing up in #Ethereum "" Joachim de Koning http://bitcoinobserver.com/news/2014-04-11-Ethereum-Bitcoin-Amsterdam-Meetup.html#Ethereum… Dutch Ethereum & Bitcoin Meetup 
@FilmhuisCavia
 wednesday Amsterdam",,,,,[],https://twitter.com/ObserverBitcoin/status/456106735066185730
Francesca Bosco,@francibosco,2014-04-15T09:49:57.000Z,"Francesca Bosco
@francibosco
·
2014年4月15日","#Ethereum: #Freenet or #Skynet ? 
@berkmancenter
  http://cyber.law.harvard.edu/events/luncheon/2014/04/difilippi…
2",,,,2,[],https://twitter.com/francibosco/status/456006505871859712
Jonathan Waller,@jonwaller,2014-04-16T06:46:03.000Z,"Jonathan Waller
@jonwaller
·
2014年4月16日","Look at these cool #Ethereum projects!!!
https://hackathon.bitcredits.io/#/vote
7
7",,,7,7,[],https://twitter.com/jonwaller/status/456322613074087936
ThePiachu,@ThePiachu,2014-04-16T23:11:05.000Z,"ThePiachu
@ThePiachu
·
2014年4月17日","A few criticisms of #Ethereum - http://tpbit.blogspot.ca/2014/04/a-few-criticisms-of-ethereum.html…
2
4",,,2,4,[],https://twitter.com/ThePiachu/status/456570502996180993
Ethereum Report,@ethereumreport,2014-04-16T10:52:15.000Z,"Ethereum Report
@ethereumreport
·
2014年4月16日","Weaving a better metaphor than mining - http://cyber.law.harvard.edu/events/luncheon/2014/04/difilippi… #Ethereum
2
3",,,2,3,[],https://twitter.com/ethereumreport/status/456384570125201408
aurel,@aurelonchain,2014-04-16T11:55:43.000Z,"aurel
@aurelonchain
·
2014年4月16日",Let's see if it will. http://matslats.net/ethereum-fate-bitcoin… #ethereum #bitcoin,⛓,,,,[],https://twitter.com/aurelonchain/status/456400541505970176
Paul Sofronoff,@Psof,2014-04-16T20:23:26.000Z,"Paul Sofronoff
@Psof
·
2014年4月17日",Self administering rather than self enforcing contracts #ethereum http://coda.caseykuhlman.com/entries/2014/etherum-visits-harvard.html?utm_content=buffer7a00c&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer…,,,,,[],https://twitter.com/Psof/status/456528312244764674
Andy Yasutake,@yasusasu,2014-04-16T07:10:37.000Z,"Andy Yasutake
@yasusasu
·
2014年4月16日","""Satoshi and I are friends""...interesting concept with #Ethereum. https://ethereum.org",,,,,[],https://twitter.com/yasusasu/status/456328796623220736
