UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
aurel,@aurelonchain,2014-06-01T19:53:06.000Z,"aurel
@aurelonchain
·
2014年6月2日","http://thebitcoinnews.co.uk/cebexpo-bitcoin-conference-livestream-from-vienna-1st-june-830-cet/… 
@VitalikButerin
 live right now! #ethereum
1
2",⛓,,1,2,[],https://twitter.com/aurelonchain/status/473190521826185216
Jamie Burke,@jamie247,2014-06-02T15:37:36.000Z,"Jamie Burke
@jamie247
·
2014年6月2日",Looking for Tech Lead for UK #blockchain #ethereum projects leveraging #SmartContracts / #SmartProperty Please @ me if interested or RT,⛺,,,,[],https://twitter.com/jamie247/status/473488610013233152
John Lasschuit,@kwalitisme,2014-06-02T09:15:01.000Z,"John Lasschuit
@kwalitisme
·
2014年6月2日","Could This 20-Year-Old Kid Make Bitcoin Obsolete? 
#Ethereum or #Bitcoins - Steve Melendez on 
@fastcolabs
 http://buff.ly/1gJfCDn",,,,,[],https://twitter.com/kwalitisme/status/473392331274854400
Ethereum Report,@ethereumreport,2014-06-02T03:14:31.000Z,"Ethereum Report
@ethereumreport
·
2014年6月2日",http://beta.bitcoinmagazine.com/12041/a-new-chapter-begins/… #ethereum,,,,,[],https://twitter.com/ethereumreport/status/473301607757905920
Abhijit Anand Prabhudan,@Abhijit_A_,2014-06-03T14:30:13.000Z,"Abhijit Anand Prabhudan
@Abhijit_A_
·
2014年6月3日","What can #blockchain , #ethereum do for shadow #entrepreneurship ! http://nextbigwhat.com/india-shadow-economy-297/…
1
2",,,1,2,[],https://twitter.com/Abhijit_A_/status/473834039552393216
Decentral,@DECENTRALca,2014-06-03T22:10:23.000Z,"Decentral
@DECENTRALca
·
2014年6月4日","#Bitcoin basic with 
@ethanwilding
 at 8pm, #Toronto #Meetup Wednesday, 68 Spadina #KingWest #Fintech After 6pm #Ethereum Special
2
1",,,2,1,[],https://twitter.com/DECENTRALca/status/473949844352933889
Decentral,@DECENTRALca,2014-06-03T19:10:44.000Z,"Decentral
@DECENTRALca
·
2014年6月4日","Once monthly SPECIAL #Ethereum #meetup at 6pm, 64 Spadina, #toronto #fintech, Join the #D/Apps Discussionn building Internet 2.0!
1",,,1,,[],https://twitter.com/DECENTRALca/status/473904637045903361
Primavera De Filippi,@yaoeo,2014-06-03T05:29:58.000Z,"Primavera De Filippi
@yaoeo
·
2014年6月3日",Could a Whuffie-like reputation currency be implemented into #ethereum as an indicator of social capital ?,,,,,[],https://twitter.com/yaoeo/status/473698080835911682
Decentral,@DECENTRALca,2014-06-03T19:12:02.000Z,"Decentral
@DECENTRALca
·
2014年6月4日","#Bitcoin basic with 
@ethanwilding
 at 8pm, #Toronto #Meetup, 68 Spadina #KingWest #Fintech After 6pm #Ethereum Special",,,,,[],https://twitter.com/DECENTRALca/status/473904963043999744
Angelo Milan,@angelomilan,2014-06-04T11:43:33.000Z,"Angelo Milan
@angelomilan
·
2014年6月4日","Charles Hoskinson reminds me Steve Jobs : http://youtu.be/BNeXlJW70KQ  Charles: http://youtu.be/PoqKa1r83cM #Ethereum
1
2
3",,1,2,3,[],https://twitter.com/angelomilan/status/474154487771566080
Gibz,@Gibsongibbz,2014-06-04T07:03:21.000Z,"Gibz
@Gibsongibbz
·
2014年6月4日","#Ethereum intends to built platform for an autonomous decentrelised organisation.
2",,,,2,[],https://twitter.com/Gibsongibbz/status/474083970884198402
Angelo Milan,@angelomilan,2014-06-04T22:15:38.000Z,"Angelo Milan
@angelomilan
·
2014年6月5日","What is Ethereum? NEW ""official"" Video http://youtu.be/Clw-qf1sUZg #Ethereum
2",,,,2,[],https://twitter.com/angelomilan/status/474313553777020930
aurel,@aurelonchain,2014-06-04T22:35:26.000Z,"aurel
@aurelonchain
·
2014年6月5日","New explainer video by 
@stephantual
 
check it out! #ethereum
3",⛓,,,3,[],https://twitter.com/aurelonchain/status/474318538686349312
Primavera De Filippi,@yaoeo,2014-06-04T03:52:39.000Z,"Primavera De Filippi
@yaoeo
·
2014年6月4日","A socio-enviro-economic protocol for #ethereum based on a profit-sharing-support system, with built in reputations: http://forum.ethereum.org/discussion/973/a-humane-socio-enviro-economic-protocol…
1
3",,,1,3,[],https://twitter.com/yaoeo/status/474035982153428992
