UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
石神井公園カラオケ居酒屋ファンタジー,@39969915fantasy,2020-03-04T11:54:22.000Z,"石神井公園カラオケ居酒屋ファンタジー
@39969915fantasy
·
2020年3月4日","https://youtu.be/o7sayssMS9U

現在、歌えまーす

#石神井 #カラオケ #ライブダムエーアイ #shakujii #シャクジイ #しゃくじい #拡散希望 #bitcoin  #ファンタジー #歌 #100点 #精密採点 #練馬区 #PayPay #楽天ペイ #メルペイ
youtube.com
練馬区　洋風居酒屋 ファンタジー
このビデオの情報ファンタジー
2",🎤,,,2,['https://pbs.twimg.com/card_img/1516234606906945542/CPWjNgrx?format=jpg&name=240x240'],https://twitter.com/39969915fantasy/status/1235171726557712384
KAZMAX（吉澤和真）,@Kazmax_83,2020-03-05T09:33:59.000Z,"KAZMAX（吉澤和真）
@Kazmax_83
·
2020年3月5日","#BTCUSD #BITCOIN

せやから上がるゆーたやろMAX
KAZMAX（吉澤和真）
@Kazmax_83
 · 2020年3月5日
#BTCUSD #BITCOIN
狙いの反発ポイントにて美しい逆三尊を構築
週足チャートを見れば良くわかるが、ここまでのチャンスは10年に1度、買わないことがむしろリスクとなるレベル

さぁ土俵は整った！GO
16
20
201",💥 🚀 ✨ 📈 💥 🚀,16,20,201,"['https://pbs.twimg.com/media/ESVfl7YUMAE2Aqh?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1402586080390438913/PkR1oad-_mini.jpg', 'https://pbs.twimg.com/media/ESTnNi9UEAI5NGM?format=jpg&name=360x360']",https://twitter.com/Kazmax_83/status/1235498783133200385
KAZMAX（吉澤和真）,@Kazmax_83,2020-03-05T02:57:12.000Z,"KAZMAX（吉澤和真）
@Kazmax_83
·
2020年3月5日","#BTCUSD #BITCOIN
やはり上がりましたね
乗れた方はおめでとう

さぁ、ここからが勝負
KAZMAX（吉澤和真）
@Kazmax_83
 · 2020年3月5日
#BTCUSD #BITCOIN
狙いの反発ポイントにて美しい逆三尊を構築
週足チャートを見れば良くわかるが、ここまでのチャンスは10年に1度、買わないことがむしろリスクとなるレベル

さぁ土俵は整った！GO
14
15
119",📈 ㊗ 💥 🚀 ✨ 📈 💥 🚀,14,15,119,"['https://pbs.twimg.com/media/ESUExyuUMAEenwA?format=jpg&name=900x900', 'https://pbs.twimg.com/profile_images/1402586080390438913/PkR1oad-_mini.jpg', 'https://pbs.twimg.com/media/ESTnNi9UEAI5NGM?format=jpg&name=360x360']",https://twitter.com/Kazmax_83/status/1235398929899913216
石神井公園カラオケ居酒屋ファンタジー,@39969915fantasy,2020-03-05T10:14:48.000Z,"石神井公園カラオケ居酒屋ファンタジー
@39969915fantasy
·
2020年3月5日","https://youtu.be/o7sayssMS9U

本日も営業してます。

#石神井 #カラオケ #ライブダムエーアイ #shakujii #シャクジイ #しゃくじい #拡散希望 #bitcoin  #ファンタジー #歌 #100点 #精密採点 #練馬区 #PayPay #楽天ペイ #メルペイ
youtube.com
練馬区　洋風居酒屋 ファンタジー
このビデオの情報ファンタジー
2
2",,,2,2,['https://pbs.twimg.com/card_img/1516234606906945542/CPWjNgrx?format=jpg&name=240x240'],https://twitter.com/39969915fantasy/status/1235509055893848064
wady,@wady,2020-03-16T13:56:25.000Z,"wady
@wady
·
2020年3月16日",それにしてもBitCoinの落ち方が半端ない。年末に売っちゃったから持ってないけど。 #Bitcoin #Crash,☮,,,,['https://pbs.twimg.com/media/ETPFJrBUUAcFbK3?format=jpg&name=900x900'],https://twitter.com/wady/status/1239551096604917762
懐石割烹　輝（きらり）,@kirari_kanda,2020-03-16T02:04:09.000Z,"懐石割烹　輝（きらり）
@kirari_kanda
·
2020年3月16日","今週も始まりましたね。
本日、お席空いております。
コロナ影響がまだ続いてます
よろしくお願い致します。
#個室　#除菌　#神田　#神田ランチ　#神田ディナー　#コロナ対策　#歓送迎会　#キャッシュレス決済　#bitcoin  #おすすめ",😵,,,,[],https://twitter.com/kirari_kanda/status/1239371845788295168
懐石割烹　輝（きらり）,@kirari_kanda,2020-03-17T02:08:11.000Z,"懐石割烹　輝（きらり）
@kirari_kanda
·
2020年3月17日","お世話になります。
本日も営業致して居ります。
お気軽にお越し下さいませ。
除菌毎日して居ります。
#コロナ対策　#bitcoin #除菌　#キャッシュレス決済　#一品料理　#個室除菌　#神田　#神田ディナー　#神田ランチ　#和食　#限定　#アパホテル神田
2",,,,2,[],https://twitter.com/kirari_kanda/status/1239735251833769984
Yuji Hatano,@yuji_hatano,2020-03-17T18:00:01.000Z,"Yuji Hatano
@yuji_hatano
·
2020年3月18日",ビットコインが上がり続けてて寝れない！！#ビットコイン #上昇 #取り返せ　#Bitcoin,,,,,[],https://twitter.com/yuji_hatano/status/1239974788522586122
Roger Ver,@rogerkver,2020-03-21T13:41:36.000Z,"Roger Ver
@rogerkver
·
2020年3月21日","“It is usually futile to try to talk facts and analysis to people who are enjoying a sense of moral superiority in their ignorance.”
#Bitcoin Maximalism
109
42
345",,109,42,345,"['https://pbs.twimg.com/media/EToxtUyUcAEzzw0?format=jpg&name=small', 'https://pbs.twimg.com/media/EToxtU8U4AE3Onc?format=jpg&name=small', 'https://pbs.twimg.com/media/EToxtUwUUAAppD9?format=jpg&name=small']",https://twitter.com/rogerkver/status/1241359306756206593
wanwan,@FXxxx888,2020-03-23T14:25:05.000Z,"wanwan
@FXxxx888
·
2020年3月23日","やっぱりXMのアフィリエイトが一番稼げるなー
みんなもやってみて。
https://ameblo.jp/wanwan19831226/entry-12584339996.html…

#プレゼント企画 #EXC #NANJ #BTC #ETH #ETC #XRP #XMR #REP #NEM #拡散希望 #KIZ #プレゼント #bitcoin #仮想通貨 #NEMの会 #暗号資産 #LTC #BCH #FCT #LISK
此私信可能包含敏感内容。更改设置
查看
2
1
3",,2,1,3,[],https://twitter.com/FXxxx888/status/1242095022419238912
Shu Kobuchi(こぶシュー),@shu_kob,2020-04-11T03:08:22.000Z,"Shu Kobuchi(こぶシュー)
@shu_kob
·
2020年4月11日","Bitcoin Signetを久しぶりに触ったけど、3月でリセットしてたんやね。

https://explorer.bc-2.jp/block/0000196c05cb3c221cb1a92c112d35f49bb76cbdc7dfddec27408c68df797f2e…

#Bitcoin #Signet",⚡,,,,[],https://twitter.com/shu_kob/status/1248810094415859713
