UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Anna Belinda,@anbelindana,2021-12-12T05:18:50.000Z,"Anna Belinda
@anbelindana
·
2021年12月12日","027

the devil is in details
my teacher once said to me
i prefer angels

#nft #haiku #nfthaiku
#metaverse #metaversehaiku
#NFTification #devilisindetails
#angelisindetails #minted
#chaininfo #tokenid #blockchain 
#opensea #haikuchallenge
#haikudaily #haikumoment
@catenator
0:15
17 次观看
1
2",,1,,2,['https://pbs.twimg.com/ext_tw_video_thumb/1469899499187277826/pu/img/Yw88TS4y3un7cya5.jpg'],https://twitter.com/anbelindana/status/1469899522881224710
Anna Belinda,@anbelindana,2021-12-12T05:18:50.000Z,"Anna Belinda
@anbelindana
·
2021年12月12日","027

the devil is in details
my teacher once said to me
i prefer angels

#nft #haiku #nfthaiku
#metaverse #metaversehaiku
#NFTification #devilisindetails
#angelisindetails #minted
#chaininfo #tokenid #blockchain 
#opensea #haikuchallenge
#haikudaily #haikumoment
@catenator
0:14
17 次观看
1
2",,1,,2,[],https://twitter.com/anbelindana/status/1469899522881224710
