UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Daily Breaking News,@the_world_news,2010-07-01T06:35:42.000Z,"Daily Breaking News
@the_world_news
·
2010年7月1日",http://euraeka.com/articles/6653069-Assorted-links #dole #bitcoin #skits #pierre #barbados,,,,,[],https://twitter.com/the_world_news/status/17474398690
HostFat,@HostFat,2010-07-06T17:48:52.000Z,"HostFat
@HostFat
·
2010年7月7日","#bitcoin 0.3 is out! ;D
1
2",,1,,2,[],https://twitter.com/HostFat/status/17884258514
Andrew Cartwright,@DeputyVice,2010-07-11T23:32:49.000Z,"Andrew Cartwright
@DeputyVice
·
2010年7月12日","Need more money? Get your lazy computer to mint you some more: http://bit.ly/b3mVDm #bitcoin
3",,,,3,[],https://twitter.com/DeputyVice/status/18311962088
ThinkPunk,@propagare,2010-07-12T10:55:41.000Z,"ThinkPunk
@propagare
·
2010年7月12日","http://is.gd/doVOt Bitcoin - P2P Cryptocurrency - No central authority to issue new money or keep track of transactions. #currency #bitcoin
3",,,,3,[],https://twitter.com/propagare/status/18345893675
竹下憲二,@takeshita_kenji,2010-07-12T17:46:08.000Z,"竹下憲二
@takeshita_kenji
·
2010年7月13日","Bitcoin sounds pretty cool: http://en.wikipedia.org/wiki/Bitcoin #bitcoin #money #market #cryptography
1
1
2",,1,1,2,[],https://twitter.com/takeshita_kenji/status/18370985741
Jacob Davis-Hansson,@jakewins,2010-07-12T09:46:30.000Z,"Jacob Davis-Hansson
@jakewins
·
2010年7月12日","Trying out http://www.bitcoin.org/ #bitcoin, cool idea, the underlying value of the currency is the electricity it costs to generate it..
1
2
8",,1,2,8,[],https://twitter.com/jakewins/status/18343039499
Mo,@gamamb,2010-07-12T02:02:10.000Z,"Mo
@gamamb
·
2010年7月12日","RT 
@pettter
 #bitcoin gets some attention at /. http://ur1.ca/0n0fg #telecomix #digitalcurrency #exploitable
1",⭐,,,1,[],https://twitter.com/gamamb/status/18320363942
Marcotte,@khabalox,2010-07-12T01:24:39.000Z,"Marcotte
@khabalox
·
2010年7月12日","Grilling steelhead, reading about #bitcoin and having my mind blown (I think).
3",,,,3,[],https://twitter.com/khabalox/status/18318176546
Mel,@TheFach,2010-07-12T17:04:57.000Z,"Mel
@TheFach
·
2010年7月13日","Anyone hear about #bitcoin ? P2P network based digital currency w no central bank RT 
@slashdot
: Bitcoin Releases v.0.3 http://bit.ly/bWAP5n
4",,,,4,[],https://twitter.com/TheFach/status/18368502092
laowushi,@laowushi,2010-07-12T03:22:24.000Z,"laowushi
@laowushi
·
2010年7月12日","#Bitcoin
2",,,,2,[],https://twitter.com/laowushi/status/18325235890
Channel Couture,@ChannelCouture,2010-07-12T04:42:15.000Z,"Channel Couture
@ChannelCouture
·
2010年7月12日","RT 
@walck
: RMXT 
@pettter
 #bitcoin gets some attention at /. http://ur1.ca/0n0fg #telecomix #digitalcurrency #exploitable?",,,,,[],https://twitter.com/ChannelCouture/status/18329898795
Jon Randy,@jonrandy,2010-07-13T09:16:58.000Z,"Jon Randy
@jonrandy
·
2010年7月13日","Interesting idea - Bitcoin P2P Cryptocurrency - www.bitcoin.org #bitcoin
2",,,,2,[],https://twitter.com/jonrandy/status/18424064212
dadefjam,@dadefjam,2010-07-13T15:41:24.000Z,"dadefjam
@dadefjam
·
2010年7月13日","Smart thinking: transactiesysteem voor betalen via p2p, much cheaper, geen Wellink: #Bitcoin P2P Cryptocurrency http://www.bitcoin.org/
2",,,,2,[],https://twitter.com/dadefjam/status/18446177288
Lance Miller,@lancemiller,2010-07-13T13:14:57.000Z,"Lance Miller
@lancemiller
·
2010年7月13日","#Bitcoin P2P Cryptocurrency http://www.bitcoin.org/
2",,,,2,[],https://twitter.com/lancemiller/status/18435809625
