UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Charlie Bradshaw,@charlie31_,2021-10-01T23:56:13.000Z,"Charlie Bradshaw
@charlie31_
·
Oct 2, 2021","Had my doubts for a while, but I’m officially out on Ben Simmons. Don’t trust blokes who 
- lose their Australian accent
- date a Jenner
- skip the olympics to get ready for the season he plans to..not play in 
- thinks everyone else needs to change while he stays the same",😐,1,,32,[],https://twitter.com/charlie31_/status/1444088794244792321
Jessica,@yesimrite,2021-10-01T19:46:51.000Z,"Jessica
@yesimrite
·
Oct 2, 2021","Replying to 
@Trap_Jesus
 and 
@deray",,1,2,8,[],https://twitter.com/yesimrite/status/1444026042474110977
James Hall,@hallaboutafrica,2021-10-01T20:53:05.000Z,"James Hall
@hallaboutafrica
·
Oct 2, 2021","Recalling today (Oct 1) the all-African ending for the 2000 Sydney Olympics when Ethiopia's Gezahegne Abera won the men's marathon gold medal with a run of 2:10:11, a split-second 0.20s ahead of Kenya's Erick Wainaina, with bronze won by Ethiopia's Tesfaye Tola.",,,2,18,"['https://pbs.twimg.com/media/FApE8QrWQAgvNhq?format=jpg&name=small', 'https://pbs.twimg.com/media/FApFFftWUAM-mCX?format=jpg&name=small']",https://twitter.com/hallaboutafrica/status/1444042707165396992
Ro Edge,@rosey_nz,2021-10-01T23:22:26.000Z,"Ro Edge
@rosey_nz
·
Oct 2, 2021","Replying to 
@VeritySmith19",,1,1,29,[],https://twitter.com/rosey_nz/status/1444080292956807173
,@Shinee091291,2021-10-01T19:03:37.000Z,"@Shinee091291
·
Oct 2, 2021",what's wrong with having songs in the movie? Aren't you the same ppl who were angry over an Olympic medalist having short hair.. https://t.co/lIKlUzZalD,🐇 🌱 🌛 🔥 🗝 💎,2,3,21,[],https://twitter.com/Shinee091291/status/1444015159446368259
U.S. Ski & Snowboard Team,@usskiteam,2021-10-01T21:45:17.000Z,"U.S. Ski & Snowboard Team
@usskiteam
·
Oct 2, 2021","(Luke) #WintersIsComing.
@Beijing2022
 season right around the corner and the 
@TeamUSA
 athletes are ready to get back on snow!! #olympics",😤,,,16,['https://pbs.twimg.com/ext_tw_video_thumb/1444053971430223877/pu/img/5fA_KtKLEw8wgo71.jpg'],https://twitter.com/usskiteam/status/1444055846770470913
Frank Gaffney,@frankgaffney,2021-10-01T19:00:01.000Z,"Frank Gaffney
@frankgaffney
·
Oct 2, 2021","Millions tortured, starved, enslaved… 400 million died through forced abortion… The CCP knows no bounds. Boycott the Beijing Olympics.Say NO to #Beijing’s #GenocideGames",,8,12,20,['https://pbs.twimg.com/media/FAohvbrXoAUa13k?format=jpg&name=900x900'],https://twitter.com/frankgaffney/status/1444014254613483520
Gray Connolly,@GrayConnolly,2021-10-01T23:58:03.000Z,"Gray Connolly
@GrayConnolly
·
Oct 2, 2021","Replying to 
@GrayConnolly",,3,3,28,[],https://twitter.com/GrayConnolly/status/1444089256360628227
Gerry Davies,@g_c_davies,2021-10-01T21:42:43.000Z,"Gerry Davies
@g_c_davies
·
Oct 2, 2021","Replying to 
@stonewalluk",,1,2,18,[],https://twitter.com/g_c_davies/status/1444055201120391172
Tin Foil Awards,@TinFoilAwards,2021-10-01T20:23:20.000Z,"Tin Foil Awards
@TinFoilAwards
·
Oct 2, 2021","Replying to 
@jonathanstea",,2,2,30,[],https://twitter.com/TinFoilAwards/status/1444035221121343497
Idaho Steelheads,@Steelheads,2021-10-01T21:18:27.000Z,"Idaho Steelheads
@Steelheads
·
Oct 2, 2021","Hockey                      Olympic
players                       legends
                    
         Boise is beautiful",🤝,,3,44,"['https://pbs.twimg.com/profile_images/1728088444750958592/lqxggDjt_bigger.jpg', 'https://pbs.twimg.com/profile_images/1594521882589536256/lAwxqtiK_normal.jpg']",https://twitter.com/Steelheads/status/1444049094813519873
Sky Sports,@SkySports,2021-10-01T20:30:00.000Z,"Sky Sports
@SkySports
·
Oct 2, 2021",Joe Joyce believes he should be awarded an Olympic gold medal if the independent investigation into his defeat at Rio 2016 concludes the fight was manipulated.,,5,10,196,['https://pbs.twimg.com/media/FAoAYxxWYAI4LKx?format=jpg&name=900x900'],https://twitter.com/SkySports/status/1444036900478545922
Stephanie A. Shields,@StephanieKTSM,2021-10-01T18:45:50.000Z,"Stephanie A. Shields
@StephanieKTSM
·
Oct 2, 2021",This is so cool to have an Olympic gold medalist in El Paso and not just that but one who’s part of our UTEP community too. What an honor!,🥇,,4,45,"['https://pbs.twimg.com/profile_images/1603633012649795587/D4meEvvW_normal.jpg', 'https://pbs.twimg.com/media/FAl2dnLUUAE09mM?format=jpg&name=900x900']",https://twitter.com/StephanieKTSM/status/1444010683666890758
Amb. Manoah Esipisu EBS,@MEsipisu,2021-10-01T22:48:26.000Z,"Amb. Manoah Esipisu EBS
@MEsipisu
·
Oct 2, 2021","In the absence of Double Olympic champion 
@EliudKipchoge
, Kenya's hopes in the elite men race rest with Vincent Kipchumba, Titus Ekiru and Evans Chebet who face off against Ethiopia’s Shura Kitata and Birhanu Legese. #LondonMarathon",,,7,10,"['https://pbs.twimg.com/media/FApfl20WYAIKgw4?format=png&name=small', 'https://pbs.twimg.com/media/FApfl-fWUAEYodH?format=png&name=small']",https://twitter.com/MEsipisu/status/1444071739340771330
The Charlotte Observer,@theobserver,2021-10-01T21:51:05.000Z,"The Charlotte Observer
@theobserver
·
Oct 2, 2021",Students demand better campus safety after an Olympic High student athlete was charged with rape.,,2,2,5,[],https://twitter.com/theobserver/status/1444057303276302338
Sabrina Maddeaux,@SabrinaMaddeaux,2021-10-01T19:31:17.000Z,"Sabrina Maddeaux
@SabrinaMaddeaux
·
Oct 2, 2021","So that unpaid 6-week CBC internship post that’s floating around. I did one of those, at CBC Sports during the last Beijing Olympics. Shocked they’re still happening. Here’s what allowed me to do mine:",,2,,14,[],https://twitter.com/SabrinaMaddeaux/status/1444022123228504066
Lifemark,@LifemarkHealth,2021-10-01T19:18:58.000Z,"Lifemark
@LifemarkHealth
·
Oct 2, 2021","As a proud national sponsor of 
@SpecialOCanada
, we are thrilled to see that John ""Jackie"" Barrett, a record-breaking Powerlifter from Newfoundland, will be the first ever Special Olympics athlete inducted into Canada's Sports Hall of Fame!",,1,5,13,"['https://pbs.twimg.com/media/FAovlJwXEAUzWb4?format=png&name=small', 'https://pbs.twimg.com/media/FAovlJyXoAIo0yD?format=jpg&name=small']",https://twitter.com/LifemarkHealth/status/1444019024678035461
The Guardian,@guardian,2021-10-01T19:59:55.000Z,"The Guardian
@guardian
·
Oct 2, 2021",Charlotte Purdue feels running for Team GB ‘tainted’ after Olympics snub,,2,5,11,[],https://twitter.com/guardian/status/1444029327889387520
New York Daily News,@NYDailyNews,2021-10-01T23:10:34.000Z,"New York Daily News
@NYDailyNews
·
Oct 2, 2021","The Queens of Queens 
Olympic gold medalists are feted at a Borough Hall ceremony

Hoopster Tina Charles and track star Dalilah Muhammad received keys to the borough 
@LeonardGreene",🍎,,3,12,['https://pbs.twimg.com/card_img/1726783577768030209/Z8nHwKU8?format=jpg&name=small'],https://twitter.com/NYDailyNews/status/1444077305874292740
